端末推定,日付,月,推定日時,generation_dir,ファイル名,ファイルパス,分類,サイズbytes,更新時刻,blob_kind,sample_entropy,header_hex,sha256_head1mb,sha256_full_if_small,sqlite_open,sqlite_error,sqlite_table_count,sqlite_tables,files_count,properties_count,integrity_quick
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace,Manifest.db,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace\Manifest.db,exact_manifest_db,215371792,2026-04-20 20:30:44,OPAQUE_HIGH_ENTROPY,7.999819,f0fba6da1eb99ce1e91f5d4fbb967dba116b939cbe5682bdb8850d27016efbbd,2be3228520f8e112c55654e4b50d722aedb2f9bcaec5c327ec440bf206fb1de6,da3d5505dbde82138aa28e63375bfe28eef21fbe8ed259e5dd8e8a81d55a8a58,NO,,,,,,
iPhone15 Pro,2026-01-19,2026-01,2026-01-19 13:33:50,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-19-133350  no\Workspace,Manifest.db,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-19-133350  no\Workspace\Manifest.db,exact_manifest_db,214654992,2026-01-19 20:32:34,OPAQUE_HIGH_ENTROPY,7.999857,86b0a66216cb7d0065cbd44131f9a91af0c1b3f4064b839e4c567e8269d942f2,465b7cdc2fc8bf354ef78acf4dd4b8e7fcbcd423b085ba00ac8a39db8bf88a24,c778a7b1e4e449b3d5a43aa4d5a7838ca3116cac77889e35dbe682662cabdf1d,NO,,,,,,
Friend,2026-01-16,2026-01,2026-01-16 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16  (00_e9-00_ff),Manifest.db,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16  (00_e9-00_ff)\Manifest.db,exact_manifest_db,8953872,2026-04-20 20:06:18,OPAQUE_HIGH_ENTROPY,7.999843,847f84c217ea6cfeca8065f1cf1934a44be790cd85bb9cf3aead64152f5d1224,b765b82db9a21bd518bf3cf7099b15b6278c1d8945807b9b6bf028b3d1b4ad79,cf247d268d2709c605a8cc3eff3a2434d0c862100db90e69eeb7a4299c2fc159,NO,,,,,,
Friend,2026-01-16,2026-01,2026-01-16 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16-164631  00_e9 -,Manifest.db,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16-164631  00_e9 -\Manifest.db,exact_manifest_db,8953872,2026-04-25 14:57:24,OPAQUE_HIGH_ENTROPY,7.999843,847f84c217ea6cfeca8065f1cf1934a44be790cd85bb9cf3aead64152f5d1224,b765b82db9a21bd518bf3cf7099b15b6278c1d8945807b9b6bf028b3d1b4ad79,cf247d268d2709c605a8cc3eff3a2434d0c862100db90e69eeb7a4299c2fc159,NO,,,,,,
Friend,2026-01-16,2026-01,2026-01-16 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-155346  00_ff,Manifest.db,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-155346  00_ff\Manifest.db,exact_manifest_db,8552464,2026-04-20 19:58:50,OPAQUE_HIGH_ENTROPY,7.999819,cd83e652f149dc15b811b61af96a9279561b9f3c03b8b4e34a8f73ee50432f81,9dbb72b75dcd2790179f921ee0b643785a52533fb508e3fdd551fba3d068b735,68fa2e94ae3461ea90f0f3882c4f9fa264965c7615c69a53be401c69f1f125c1,NO,,,,,,
Friend,2026-01-16,2026-01,2026-01-16 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-164016  00_fa,Manifest.db,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-164016  00_fa\Manifest.db,exact_manifest_db,8953872,2026-04-20 20:02:38,OPAQUE_HIGH_ENTROPY,7.999816,ea1b1372de0bde2b0411f645a4a617528f9a6d1926657e257270b11e6b1d8784,599964966bde9060572a927244832c2db732c7af72dd6b664a0b6137002999ff,7cfa5cce977cbfb72c45f239a3c57808a6bf0e90b6d79d39cdc7bb6cb54eeb3e,NO,,,,,,
Friend,2026-01-17,2026-01,2026-01-17 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17  (00_fa-00_ff) -,Manifest.db,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17  (00_fa-00_ff) -\Manifest.db,exact_manifest_db,8949776,2026-04-20 20:23:46,OPAQUE_HIGH_ENTROPY,7.999826,ed05afab702aaf929a283c1e3fdd9238d6c8931c5561c06923853e6f9d824464,d109073b75bd8278d6a80cfed595ad6febd2b3ee52d9ca127ac327b1a70a9f00,9c2648aac93d20b75aa7193d35e79857b5b496cec54eb147afa9a31be3a1c772,NO,,,,,,
Friend,2026-01-17,2026-01,2026-01-17 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17-005317  00_fa -,Manifest.db,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17-005317  00_fa -\Manifest.db,exact_manifest_db,8949776,2026-04-20 20:19:04,OPAQUE_HIGH_ENTROPY,7.999826,ed05afab702aaf929a283c1e3fdd9238d6c8931c5561c06923853e6f9d824464,d109073b75bd8278d6a80cfed595ad6febd2b3ee52d9ca127ac327b1a70a9f00,9c2648aac93d20b75aa7193d35e79857b5b496cec54eb147afa9a31be3a1c772,NO,,,,,,
Friend,2026-01-17,2026-01,2026-01-17 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\2026-01-17-000353  00_ff,Manifest.db,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\2026-01-17-000353  00_ff\Manifest.db,exact_manifest_db,8560656,2026-04-20 20:13:40,OPAQUE_HIGH_ENTROPY,7.999834,e7675db22d5335200bc90178d93286b1f34c43495a1fb01bc0940f9b2ea585b3,9679b7173d4c2fb67595f29604bd039410211379e9717b62a2e5f3963f7a7471,c8a6908b62b07021f6d941f57c57794ddb185d999713725f3523c621141ae6dd,NO,,,,,,
Friend,2026-01-17,2026-01,2026-01-17 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\2026-01-17-000824  00_e9,Manifest.db,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\2026-01-17-000824  00_e9\Manifest.db,exact_manifest_db,8962064,2026-04-20 20:17:20,OPAQUE_HIGH_ENTROPY,7.999798,b319a8520c7bb4d1e522fd6fa6331d2db78b57b8d0ce598cd544617f6cb09662,4d50eb11206824af97eacdacf8d90504d2ee43ee0f4fff648ace2368ab514e73,2851f3d757eaee643a99038d1eeef68905c3e8cb4d9199fe729c032f9d44be79,NO,,,,,,
