端末推定,日付,月,推定日時,generation_dir,ファイル名,ファイルパス,分類,サイズbytes,更新時刻,blob_kind,sample_entropy,header_hex,sha256_head1mb,sha256_full_if_small,plist_open,plist_error,plist_type,plist_key_count,plist_keys,device_name,product_type,build_version,ios_version,is_encrypted,date,snapshot_state
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace,DDNABackup.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace\DDNABackup.plist,backup_marker_file,2300,2026-04-20 20:27:12,OTHER_OR_TEXTLIKE,4.989282,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,9fb5fd151bada5662f2cabc9035540e9f7f4b8077c401ff251af63d267ac0a2c,9fb5fd151bada5662f2cabc9035540e9f7f4b8077c401ff251af63d267ac0a2c,YES,,dict,23,audioDiskUsage;backupChecksum;booksDiskUsage;dataSets;datasetSizes;deviceAppleIDDSPersonID;deviceAppleIDEmail;deviceIconFilename;deviceModelDetails;deviceUDID;documentsAndDataDiskUsage;domainSets;editable;iMazingBackupVersion;migrationVersion;musicDiskUsage;otherDiskUsage;photosDiskUsage;podcastDiskUsage;ringtonesDiskUsage;totalDiskUsage;videoDiskUsage;voiceMemosDiskUsage,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace,Info.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace\Info.plist,key_metadata,1639214,2026-04-20 20:27:14,BPLIST_HEADER,7.867338,62706c6973743030df1014000100020003000400050006000700080009000a00,bac5304010cde6942dadf77d557259f38014ce27bb52052fd30533f7ed67311c,0b97eb535dc9fcef56288506614724c3d739c63065203ad872c41a796a9f6ec7,YES,,dict,20,Applications;Build Version;Device Name;Display Name;GUID;ICCID;IMEI;IMEI 2;Installed Applications;Last Backup Date;Phone Number;Product Name;Product Type;Product Version;Serial Number;Target Identifier;Target Type;Unique Identifier;iTunes Files;iTunes Version,夏草🌅,"iPhone16,1",22D72,18.3.1,,2026-01-20 06:35:45,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace,Manifest.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace\Manifest.plist,key_metadata,223465,2026-04-20 20:30:28,BPLIST_HEADER,6.001719,62706c6973743030d9000100020003000400050006000700080009000a000b00,f8f6bc7a986603cc9935a1ec635e65c54707bdf61a3425b1bd69484241acbea4,f8f6bc7a986603cc9935a1ec635e65c54707bdf61a3425b1bd69484241acbea4,YES,,dict,9,Applications;BackupKeyBag;Date;IsEncrypted;Lockdown;ManifestKey;SystemDomainsVersion;Version;WasPasscodeSet,,,,,True,2026-01-20 05:19:23.123267,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace,Status.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace\Status.plist,key_metadata,189,2026-04-20 20:30:30,BPLIST_HEADER,5.674412,62706c6973743030d60102030405060708090a0b0c5c497346756c6c4261636b,e4548f0cff5ddcc6a59bc435cd9073ee1ff7a63fcf5c76403a4cd0569b2e3cec,e4548f0cff5ddcc6a59bc435cd9073ee1ff7a63fcf5c76403a4cd0569b2e3cec,YES,,dict,6,BackupState;Date;IsFullBackup;SnapshotState;UUID;Version,,,,,,2026-01-20 06:34:54.632566,finished
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-07-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-07-stats.plist,backup_marker_file,1345,2025-10-20 23:51:18,OTHER_OR_TEXTLIKE,5.504023,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,5a984de07e48887bfaa6c45dc68503ad408a9338ab0271762132e6646140767e,5a984de07e48887bfaa6c45dc68503ad408a9338ab0271762132e6646140767e,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-10-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-10-stats.plist,backup_marker_file,1627,2025-10-20 23:51:18,OTHER_OR_TEXTLIKE,5.42228,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,556d691f787a8c2ed8a24190922e28951c2111a45c66dc0d594142205d34eb6f,556d691f787a8c2ed8a24190922e28951c2111a45c66dc0d594142205d34eb6f,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-11-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-11-stats.plist,backup_marker_file,676,2025-10-20 23:51:18,OTHER_OR_TEXTLIKE,5.607957,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,7bd460120d165e6813344279ae5a0ebdc1e5f036657244628703acead1d0f786,7bd460120d165e6813344279ae5a0ebdc1e5f036657244628703acead1d0f786,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-12-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-12-stats.plist,backup_marker_file,758,2025-10-20 23:51:18,OTHER_OR_TEXTLIKE,5.625055,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,5c93b74e8db05ed665be8e389182f920b7505b39b335f0ea34e0c3a130b02ad1,5c93b74e8db05ed665be8e389182f920b7505b39b335f0ea34e0c3a130b02ad1,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-14-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-14-stats.plist,backup_marker_file,759,2025-10-20 23:51:18,OTHER_OR_TEXTLIKE,5.637769,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,ea4c3fdcf73192469ef2abac47cbaf60e6ce064b135cc375261a6f760496689c,ea4c3fdcf73192469ef2abac47cbaf60e6ce064b135cc375261a6f760496689c,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-15-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-15-stats.plist,backup_marker_file,678,2025-10-20 23:51:18,OTHER_OR_TEXTLIKE,5.606469,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,79914da8f8da2b7f7aa1a393463d2a7869a696ec19d218c91b891a473f771572,79914da8f8da2b7f7aa1a393463d2a7869a696ec19d218c91b891a473f771572,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-18-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-18-stats.plist,backup_marker_file,760,2025-10-20 23:51:18,OTHER_OR_TEXTLIKE,5.627379,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,80428b855a91caf8505aab578b8021436c8f04554220e014734cab43f7bf8bfc,80428b855a91caf8505aab578b8021436c8f04554220e014734cab43f7bf8bfc,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-19-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-19-stats.plist,backup_marker_file,917,2025-10-20 23:51:18,OTHER_OR_TEXTLIKE,5.607614,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,c5a4598127d4b639027711cf78d39a754727a7bd7ae7e2d91e8b5c48ecc053d3,c5a4598127d4b639027711cf78d39a754727a7bd7ae7e2d91e8b5c48ecc053d3,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-20-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-20-stats.plist,backup_marker_file,1173,2025-10-22 12:08:52,OTHER_OR_TEXTLIKE,5.551319,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,5f3b552328ccd7529472b7ed88fb4877214a57707069eebb8724ed9a7175e9e0,5f3b552328ccd7529472b7ed88fb4877214a57707069eebb8724ed9a7175e9e0,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
iPhone15 Pro,2026-01-20,2026-01,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband,log-bb-2025-10-22-stats.plist,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Device\File System\Logs\Baseband\log-bb-2025-10-22-stats.plist,backup_marker_file,1172,2025-10-23 15:51:26,OTHER_OR_TEXTLIKE,5.546694,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554,978c48360813d5dc36789e86590529d1996a08a4641b265e07a0c8a1a015343d,978c48360813d5dc36789e86590529d1996a08a4641b265e07a0c8a1a015343d,YES,,dict,5,SysInfoCrashReporterKey;bug_type;description;os_version;system_ID,,,,,,,
