端末推定,from_time,to_time,from_generation,to_generation,from_blob_kind,to_blob_kind,from_sqlite_open,to_sqlite_open,same_size,same_sha256_full,same_header,size_delta,transition
iPhone15 Pro,2026-01-19 13:33:50,2026-01-20 13:35:45,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-19-133350  no\Workspace,H:\Manifest\Friend_Device\iPhone15 Pro\00008130-000C2CA92181001C\Internet_Cafe\2026-01-20-133545  00_ff\Workspace,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,NO,NO,NO,716800,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-16 00:00:00,2026-01-16 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16  (00_e9-00_ff),H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16-164631  00_e9 -,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,YES,YES,YES,0,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-16 00:00:00,2026-01-16 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16-164631  00_e9 -,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-155346  00_ff,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,NO,NO,NO,-401408,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-16 00:00:00,2026-01-16 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-155346  00_ff,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-164016  00_fa,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,NO,NO,NO,401408,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-16 00:00:00,2026-01-17 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-164016  00_fa,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17  (00_fa-00_ff) -,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,NO,NO,NO,-4096,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-17 00:00:00,2026-01-17 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17  (00_fa-00_ff) -,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17-005317  00_fa -,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,YES,YES,YES,0,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-17 00:00:00,2026-01-17 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17-005317  00_fa -,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\2026-01-17-000353  00_ff,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,NO,NO,NO,-389120,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-17 00:00:00,2026-01-17 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\2026-01-17-000353  00_ff,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\2026-01-17-000824  00_e9,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,NO,NO,NO,401408,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-17 00:00:00,2026-01-21 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\2026-01-17-000824  00_e9,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-21\My_PC\- 2026-01-21  (00_e9-00_ff) -,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,NO,NO,NO,-8192,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
Friend,2026-01-21 00:00:00,2026-01-21 00:00:00,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-21\My_PC\- 2026-01-21  (00_e9-00_ff) -,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-21\My_PC\- 2026-01-21-170058  00_e9 -,OPAQUE_HIGH_ENTROPY,OPAQUE_HIGH_ENTROPY,NO,NO,YES,YES,YES,0,OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY
