pattern,サイズbytes,row_count,unique_hash_count,devices,blob_kinds,sample_generations
SAME_SIZE_DIFFERENT_HASH,8953872,5,3,Friend,OPAQUE_HIGH_ENTROPY,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16  (00_e9-00_ff) | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16-164631  00_e9 - | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\2026-01-16-164016  00_fa | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-21\My_PC\- 2026-01-21  (00_e9-00_ff) - | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-21\My_PC\- 2026-01-21-170058  00_e9 -
SAME_HASH_REPETITION,218931216,3,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2025-12-19\- 2025-12-14  (1f_fa-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2025-12-19\- 2025-12-19-161445  1f_fa - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\Original\2025-12-14\00008101-001E21CC3A9BA01E
SAME_HASH_REPETITION,218996752,3,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2025-12-28\- 2025-12-28  (1f_fa-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2025-12-28\2025-12-28-073948  00_ff | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\Original\2025-12-28\00008101-001E21CC3A9BA01E
SAME_HASH_REPETITION,219095056,3,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-05\- 2026-01-05  (1e_fd-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-05\- 2026-01-05-064502  1e_fd - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\Original\2026-01-05\00008101-001E21CC3A9BA01E
SAME_SIZE_DIFFERENT_HASH,8949776,3,2,Friend,OPAQUE_HIGH_ENTROPY,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17  (00_fa-00_ff) - | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17-005317  00_fa - | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-21\My_PC\2026-01-21-165931  00_fa
SAME_SIZE_SAME_HASH,218931216,3,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2025-12-19\- 2025-12-14  (1f_fa-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2025-12-19\- 2025-12-19-161445  1f_fa - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\Original\2025-12-14\00008101-001E21CC3A9BA01E
SAME_SIZE_SAME_HASH,218996752,3,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2025-12-28\- 2025-12-28  (1f_fa-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2025-12-28\2025-12-28-073948  00_ff | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\Original\2025-12-28\00008101-001E21CC3A9BA01E
SAME_SIZE_SAME_HASH,219095056,3,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-05\- 2026-01-05  (1e_fd-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-05\- 2026-01-05-064502  1e_fd - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\Original\2026-01-05\00008101-001E21CC3A9BA01E
SAME_HASH_REPETITION,119406608,2,1,12G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2025-12-31\- 2025-12-31  (0c_fa-00_ff) - | H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2025-12-31\- 2025-12-31-075308  0c_fa -
SAME_HASH_REPETITION,119865360,2,1,12G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-06\- 2026-01-06  (01_fa-00_ff) - | H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-06\- 2026-01-06-234154  01_fa -
