端末推定,日付,total_context_rows,storage_memory_pressure,logging_deletion_rotation,capture_preservation_failure,backup_snapshot_failure,thermal_power_crash_reset,content_trigger_chain,spotlight_suggestion_sync_chain,policy_restriction_state,pressure_score,trigger_chain_score,combined_suppression_score,suppression_hint
12G,2025-10-22,42212,573,18882,31,5216,13324,2,4364,7,76656,8748,85404,PRESSURE_TRIGGER_COUPLED_STRONG
mini1,2025-10-16,12384,2503,733,841,2453,4413,2532,1333,606,25230,11474,36704,PRESSURE_TRIGGER_COUPLED_STRONG
mini1,2025-10-17,11947,3391,566,1031,2441,3630,2044,1405,539,26540,10020,36560,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-23,5328,3874,62,41,1060,187,11,312,36,14363,729,15092,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-06,5318,3506,553,10,348,572,16,587,37,13494,1296,14790,PRESSURE_TRIGGER_COUPLED_STRONG
mini1,2025-10-01,4730,1379,260,300,1146,1925,301,857,95,11699,2807,14506,PRESSURE_TRIGGER_COUPLED_STRONG
15G,2025-11-12,4457,3605,119,40,45,157,14,503,41,11577,1130,12707,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-30,5379,1543,35,34,3574,115,6,230,21,12179,520,12699,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-11-14,4108,3331,102,37,360,219,10,315,34,11466,728,12194,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-27,4162,2935,63,39,907,127,8,264,30,11116,612,11728,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-19,3242,2432,99,41,501,422,9,478,15,9463,1013,10476,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-11-01,3391,1544,39,38,1588,117,7,250,21,8234,563,8797,PRESSURE_TRIGGER_COUPLED_STRONG
15G,2025-12-14,2975,2285,90,44,57,162,37,398,40,7605,987,8592,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-11-13,3324,1443,27,34,1765,46,4,80,19,8107,210,8317,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-08,2358,1746,64,37,331,644,8,359,20,7427,782,8209,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-29,2912,1684,71,38,1001,205,6,200,20,7720,458,8178,PRESSURE_TRIGGER_COUPLED_STRONG
15G,2025-12-05,2939,1734,128,44,321,178,48,603,31,6588,1412,8000,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-25,2719,1734,31,34,895,288,6,94,16,7732,238,7970,PRESSURE_TRIGGER_COUPLED_STRONG
15G,2025-11-10,2741,2258,75,31,39,60,4,301,28,7215,670,7885,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-02,2535,1838,87,32,376,295,19,271,19,7126,637,7763,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-11-02,2900,1504,33,32,1268,58,6,85,21,7326,230,7556,PRESSURE_TRIGGER_COUPLED_STRONG
15G,2025-10-03,2653,2053,59,14,21,120,20,388,30,6601,896,7497,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-31,2690,1564,35,37,791,165,25,286,24,6785,695,7480,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-10-10,2253,1611,32,37,284,314,13,550,16,6204,1171,7375,PRESSURE_TRIGGER_COUPLED_STRONG
12G,2025-11-11,2564,1778,53,30,535,123,7,219,16,6846,491,7337,PRESSURE_TRIGGER_COUPLED_STRONG
15G,2025-12-13,2693,1768,60,14,110,162,23,583,31,6010,1297,7307,PRESSURE_TRIGGER_COUPLED_STRONG
