端末推定,日付,storage_memory_pressure,logging_deletion_rotation,capture_preservation_failure,backup_snapshot_failure,thermal_power_crash_reset,content_trigger_chain,spotlight_suggestion_sync_chain,policy_restriction_state,pressure_score,trigger_chain_score,combined_suppression_score,cooccurrence_assessment
12G,2025-10-22,573,18882,31,5216,13324,2,4364,7,76656,8748,85404,STRONG_TRIGGER_PRESSURE_COUPLING
mini1,2025-10-16,2503,733,841,2453,4413,2532,1333,606,25230,11474,36704,STRONG_TRIGGER_PRESSURE_COUPLING
mini1,2025-10-17,3391,566,1031,2441,3630,2044,1405,539,26540,10020,36560,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-23,3874,62,41,1060,187,11,312,36,14363,729,15092,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-06,3506,553,10,348,572,16,587,37,13494,1296,14790,STRONG_TRIGGER_PRESSURE_COUPLING
mini1,2025-10-01,1379,260,300,1146,1925,301,857,95,11699,2807,14506,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-11-12,3605,119,40,45,157,14,503,41,11577,1130,12707,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-30,1543,35,34,3574,115,6,230,21,12179,520,12699,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-14,3331,102,37,360,219,10,315,34,11466,728,12194,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-27,2935,63,39,907,127,8,264,30,11116,612,11728,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-19,2432,99,41,501,422,9,478,15,9463,1013,10476,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-01,1544,39,38,1588,117,7,250,21,8234,563,8797,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-12-14,2285,90,44,57,162,37,398,40,7605,987,8592,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-13,1443,27,34,1765,46,4,80,19,8107,210,8317,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-08,1746,64,37,331,644,8,359,20,7427,782,8209,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-29,1684,71,38,1001,205,6,200,20,7720,458,8178,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-12-05,1734,128,44,321,178,48,603,31,6588,1412,8000,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-25,1734,31,34,895,288,6,94,16,7732,238,7970,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-11-10,2258,75,31,39,60,4,301,28,7215,670,7885,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-02,1838,87,32,376,295,19,271,19,7126,637,7763,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-02,1504,33,32,1268,58,6,85,21,7326,230,7556,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-10-03,2053,59,14,21,120,20,388,30,6601,896,7497,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-31,1564,35,37,791,165,25,286,24,6785,695,7480,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-10,1611,32,37,284,314,13,550,16,6204,1171,7375,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-11,1778,53,30,535,123,7,219,16,6846,491,7337,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-12-13,1768,60,14,110,162,23,583,31,6010,1297,7307,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-20,1855,32,35,349,130,7,215,22,6692,495,7187,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-10-09,1969,32,32,43,83,13,362,33,6319,829,7148,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-12-10,1645,65,40,48,143,20,709,34,5567,1546,7113,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-12-22,1008,52,38,57,124,31,1582,13,3604,3283,6887,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-21,1792,35,34,300,116,6,204,23,6380,472,6852,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-17,1974,32,43,143,50,4,64,21,6501,182,6683,MEDIUM_TRIGGER_PRESSURE_COUPLING
12G,2025-11-22,1795,35,35,112,131,7,235,23,6046,537,6583,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-09-22,3,1552,0,333,899,0,358,0,5577,716,6293,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-11-28,1485,119,45,61,174,21,435,31,5298,995,6293,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-16,1835,30,35,166,52,5,60,22,6106,179,6285,MEDIUM_TRIGGER_PRESSURE_COUPLING
15G,2025-12-26,1684,64,35,52,123,18,271,26,5635,648,6283,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-18,1317,27,33,588,164,2,314,16,5608,666,6274,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-01,1597,39,37,166,117,6,212,18,5546,478,6024,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-11,1431,38,36,83,232,6,427,22,5107,916,6023,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-19,1305,31,32,501,166,22,251,17,5407,602,6009,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-03,1583,35,4,148,159,7,237,18,5445,531,5976,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-07,1617,35,39,199,55,7,104,23,5546,275,5821,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-04,1529,35,34,96,118,9,221,24,5187,517,5704,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-12-21,1009,37,38,51,103,18,1027,18,3523,2144,5667,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-24,1581,40,3,83,101,6,186,18,5200,426,5626,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-21,1465,31,35,61,112,5,235,15,4908,515,5423,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-11-03,1245,84,7,24,125,17,488,24,4222,1075,5297,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-05,1391,33,34,81,128,6,237,17,4759,526,5285,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-12-17,1191,67,34,142,118,14,418,18,4329,914,5243,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-11-23,1281,31,32,223,126,7,245,16,4699,543,5242,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-10-20,1291,55,33,46,219,20,239,24,4612,586,5198,STRONG_TRIGGER_PRESSURE_COUPLING
15G,2025-10-12,958,82,39,286,362,21,285,13,4451,659,5110,STRONG_TRIGGER_PRESSURE_COUPLING
12G,2025-10-09,1363,33,36,68,103,6,191,18,4605,436,5041,STRONG_TRIGGER_PRESSURE_COUPLING
