観測種別,値,row_count,device_count,devices,days,rssi_values,channel_values,共有判定
PLMN_MCC_MNC,452,14,1,15G,2025-10-07;2025-10-20;2025-10-24;2025-11-05;2025-11-09;2025-12-17,,,SINGLE_DEVICE
PLMN_MCC_MNC,460,2,1,15G,2025-12-08,,,SINGLE_DEVICE
PLMN_MCC_MNC,138248,1,1,mini1,2025-10-05,,,SINGLE_DEVICE
PLMN_MCC_MNC,198892,1,1,mini1,2025-10-05,,,SINGLE_DEVICE
PLMN_MCC_MNC,199368,1,1,15G,2025-11-30,,,SINGLE_DEVICE
PLMN_MCC_MNC,209444,1,1,15G,2025-11-30,,,SINGLE_DEVICE
PLMN_MCC_MNC,311932,1,1,mini1,2025-10-05,,,SINGLE_DEVICE
PLMN_MCC_MNC,45201,1,1,15G,2025-11-04,,,SINGLE_DEVICE
PLMN_MCC_MNC,65268,1,1,mini1,2025-10-05,,,SINGLE_DEVICE
PLMN_MCC_MNC,85924,1,1,mini1,2025-10-05,,,SINGLE_DEVICE
PLMN_MCC_MNC,97776,1,1,mini1,2025-10-05,,,SINGLE_DEVICE
