端末推定,日付,total_context_rows,physical_wifi,bluetooth_nearby,cellular_baseband,location_motion,cloud_trust,backup_manifest,evidence_pressure,physical_score,telecom_score,cloud_score,pressure_score,separation_hint
12G,2025-10-22,307461,0,129209,39291,2724,79550,160294,45606,263866,78582,479688,45606,MIXED_PHYSICAL_CLOUD
12G,2025-09-22,19133,0,7876,2369,168,5036,11255,3110,16088,4738,32582,3110,CLOUD_TRUST_HEAVY
12G,2025-10-06,11780,32,5643,756,114,3664,3834,3320,11610,1512,14996,3320,MIXED_PHYSICAL_CLOUD
12G,2025-10-30,10132,21,1092,28,7,944,8034,1076,2261,56,17956,1076,CLOUD_TRUST_HEAVY
12G,2025-10-23,7857,24,3482,20,18,2025,2264,2851,7072,40,8578,2851,MIXED_PHYSICAL_CLOUD
12G,2025-11-13,6080,16,1290,14,7,770,3994,1059,2642,28,9528,1059,CLOUD_TRUST_HEAVY
12G,2025-10-27,5982,20,2244,20,16,1718,1939,2068,4580,40,7314,2068,MIXED_PHYSICAL_CLOUD
12G,2025-11-01,5581,27,1062,25,7,972,3493,1087,2219,50,8930,1087,CLOUD_TRUST_HEAVY
12G,2025-11-14,5520,33,2970,34,14,1749,694,2488,6067,68,4886,2488,MIXED_PHYSICAL_CLOUD
12G,2025-11-02,5029,18,1340,24,7,817,2855,1101,2748,48,7344,1101,CLOUD_TRUST_HEAVY
12G,2025-10-29,4155,10,1044,19,141,894,2013,1235,2400,38,5814,1235,CLOUD_TRUST_HEAVY
12G,2025-10-25,4045,10,1398,11,7,829,1778,1278,2840,22,5214,1278,MIXED_PHYSICAL_CLOUD
12G,2025-11-08,3978,0,0,0,0,0,3978,0,0,0,7956,0,CLOUD_TRUST_HEAVY
12G,2025-10-31,3768,27,1074,40,8,994,1657,1106,2245,80,5302,1106,CLOUD_TRUST_HEAVY
12G,2025-11-11,3639,12,1562,14,7,918,1098,1312,3174,28,4032,1312,MIXED_PHYSICAL_CLOUD
12G,2025-10-13,3583,0,1382,500,66,827,2154,665,2896,1000,5962,665,CLOUD_TRUST_HEAVY
12G,2025-11-20,3501,18,1666,21,7,990,817,1372,3400,42,3614,1372,MIXED_PHYSICAL_CLOUD
12G,2025-11-21,3357,32,1606,20,7,956,752,1328,3322,40,3416,1328,MIXED_PHYSICAL_CLOUD
12G,2025-11-03,3334,14,607,5,4,376,2326,20,1264,10,5404,20,CLOUD_TRUST_HEAVY
12G,2025-11-17,3238,2,8,8,0,11,3222,14,22,16,6466,14,CLOUD_TRUST_HEAVY
12G,2025-11-18,3195,28,1156,19,5,720,1288,1010,2406,38,4016,1010,MIXED_PHYSICAL_CLOUD
12G,2025-10-19,3090,10,1500,14,63,967,467,1795,3156,28,2868,1795,MIXED_PHYSICAL_CLOUD
12G,2025-11-19,3058,52,1148,9,7,713,1149,989,2466,18,3724,989,MIXED_PHYSICAL_CLOUD
12G,2025-10-17,3044,16,1776,15,9,1037,196,1444,3618,30,2466,1444,MIXED_PHYSICAL_CLOUD
12G,2025-11-16,2956,14,1644,13,9,957,308,1342,3348,26,2530,1342,MIXED_PHYSICAL_CLOUD
12G,2025-11-04,2844,0,0,0,0,0,2844,0,0,0,5688,0,CLOUD_TRUST_HEAVY
12G,2025-10-02,2843,50,1328,25,7,963,481,1399,2820,50,2888,1399,MIXED_PHYSICAL_CLOUD
12G,2025-11-22,2829,18,1600,17,41,965,205,1343,3336,34,2340,1343,MIXED_PHYSICAL_CLOUD
12G,2025-10-07,2565,16,1310,15,5,931,304,1151,2678,30,2470,1151,MIXED_PHYSICAL_CLOUD
12G,2025-10-01,2502,14,1390,11,9,865,217,1184,2840,22,2164,1184,MIXED_PHYSICAL_CLOUD
12G,2025-11-24,2497,16,1208,20,7,933,318,1120,2478,40,2502,1120,MIXED_PHYSICAL_CLOUD
12G,2025-11-23,2458,16,1078,11,7,722,644,946,2218,22,2732,946,MIXED_PHYSICAL_CLOUD
12G,2025-10-03,2419,16,1170,22,7,977,231,1141,2402,44,2416,1141,MIXED_PHYSICAL_CLOUD
12G,2025-11-05,2340,0,0,0,0,0,2340,0,0,0,4680,0,CLOUD_TRUST_HEAVY
12G,2025-11-07,2340,0,0,0,0,0,2340,0,0,0,4680,0,CLOUD_TRUST_HEAVY
12G,2025-10-08,2323,24,980,20,115,779,396,1173,2262,40,2350,1173,MIXED_PHYSICAL_CLOUD
12G,2025-10-10,2286,16,974,11,11,961,298,1210,2018,22,2518,1210,MIXED_PHYSICAL_CLOUD
12G,2025-10-04,2180,18,1132,17,7,930,93,1083,2332,34,2046,1083,MIXED_PHYSICAL_CLOUD
